Ts,ActP
1645448617,3
1645448618,3
1645448619,3
1645448620,3
1645448621,3
1645448622,3
1645448623,3
1645448624,60
1645448625,132
1645448626,114
1645448627,112
1645448628,109
1645448629,110
1645448630,112
1645448631,108
1645448632,111
1645448633,109
1645448634,110
1645448635,110
1645448636,4
1645448636,4
1645448637,4
1645448639,3
1645448639,3
1645448640,3
1645448641,3
1645448642,3
1645448643,3
1645448644,3
1645448645,3
1645448646,103
1645448647,145
1645448648,120
1645448649,120
1645448650,121
1645448651,121
1645448652,124
1645448653,123
1645448654,119
1645448655,123
1645448656,120
1645448657,119
1645448658,4
1645448659,4
1645448660,4
1645448661,3
1645448662,3
1645448663,3
1645448664,3
1645448665,3
1645448666,3
1645448667,3
1645448668,90
1645448669,119
1645448670,113
1645448671,112
1645448672,108
1645448673,107
1645448674,108
1645448675,110
1645448676,109
1645448677,112
1645448678,110
1645448679,111
1645448680,4
1645448681,4
1645448682,3
1645448683,3
1645448684,3
1645448685,3
1645448686,3
1645448687,3
1645448688,3
1645448689,3
1645448690,108
1645448691,127
1645448692,124
1645448693,122
1645448697,123
1645448697,123
1645448697,123
1645448701,124
1645448701,124
1645448704,3
1645448704,4
1645448704,4
1645448704,4
1645448704,4
1645448704,4
1645448705,3
1645448706,3
1645448707,3
1645448708,3
1645448709,3
1645448710,3
1645448712,3
1645448712,116
1645448713,115
1645448714,114
1645448715,110
1645448716,113
1645448717,111
1645448718,113
1645448719,108
1645448720,111
1645448721,110
1645448722,112
1645448723,7
1645448724,4
1645448725,4
1645448726,3
1645448727,3
1645448729,3
1645448729,3
1645448730,3
1645448732,3
1645448732,3
1645448734,3
1645448734,117
1645448735,124
1645448736,122
1645448737,121
1645448738,122
1645448739,124
1645448740,119
1645448741,123
1645448742,120
1645448743,121
1645448744,122
1645448745,5
1645448746,4
1645448747,4
1645448748,3
1645448749,3
1645448751,3
1645448751,3
1645448753,3
1645448753,3
1645448755,3
1645448756,11
1645448757,123
1645448758,112
1645448759,106
1645448760,107
1645448761,111
1645448762,107
1645448763,110
1645448764,4
1645448765,3
1645448766,3
1645448767,3
1645448768,3
1645448769,3
1645448770,3
1645448771,3
1645448772,3
1645448773,3
1645448774,3
1645448775,3
1645448776,56
1645448776,56
1645448777,130
1645448778,118
1645448779,122
1645448780,117
1645448781,118
1645448782,118
1645448783,118
1645448784,3
1645448785,3
1645448786,3
1645448787,3
1645448788,3
1645448789,3
1645448790,3
1645448791,3
1645448792,3
1645448793,3
1645448794,3
1645448795,3
1645448796,141
1645448797,125
1645448798,110
1645448799,111
1645448800,108
1645448801,108
1645448802,108
1645448803,111
1645448804,3
1645448805,3
1645448806,3
1645448807,3
1645448808,3
1645448809,3
1645448810,3
1645448811,3
1645448812,3
1645448813,3
1645448814,3
1645448815,3
1645448816,133
1645448817,129
1645448818,116
1645448819,119
1645448820,119
1645448821,118
1645448822,118
1645448823,115
1645448824,3
1645448825,3
1645448826,3
1645448827,3
1645448828,3
1645448830,3
1645448830,3
1645448831,3
1645448833,3
1645448833,3
1645448834,3
1645448835,3
1645448836,94
1645448837,110
1645448838,110
1645448839,108
1645448840,110
1645448841,107
1645448842,108
1645448843,71
1645448844,3
1645448845,3
1645448846,3
1645448847,3
1645448848,3
1645448849,3
1645448850,3
1645448851,3
1645448852,3
1645448853,3
1645448854,3
1645448855,3
1645448856,123
1645448857,121
1645448858,118
1645448859,115
1645448860,118
1645448861,119
1645448862,121
1645448863,31
1645448864,3
1645448865,3
1645448866,3
1645448867,3
1645448868,3
1645448869,3
1645448870,3
1645448871,3
1645448873,3
1645448873,3
1645448874,3
1645448875,12
1645448876,130
1645448877,111
1645448878,110
1645448879,108
1645448880,107
1645448881,109
1645448882,112
1645448883,6
1645448884,3
1645448885,3
1645448886,3
1645448888,3
1645448888,3
1645448889,3
1645448890,3
1645448891,3
1645448893,3
1645448893,3
1645448895,3
1645448896,60
1645448896,144
1645448898,120
1645448899,117
1645448900,117
1645448901,120
1645448902,118
1645448903,119
1645448904,4
1645448905,3
1645448906,3
1645448907,3
1645448908,3
1645448909,3
1645448910,3
1645448911,3
1645448912,3
1645448913,3
1645448913,3
1645448914,3
1645448915,3
1645448917,118
1645448917,118
1645448918,112
1645448919,108
1645448920,110
1645448921,108
1645448922,110
1645448923,111
1645448924,4
1645448925,3
1645448926,3
1645448927,3
1645448928,3
1645448929,3
1645448930,3
1645448947,3
1645448948,3
1645448950,3
1645448951,3
1645448952,3
1645448953,3
1645448954,3
1645448957,124
1645448959,111
1645448959,111
1645448965,4
1645448965,4
1645448965,4
1645448965,4
1645448965,4
1645448966,4
1645448966,3
1645448966,3
1645448966,3
1645448966,3
1645448967,3
1645448968,3
1645448969,3
1645448970,3
1645448971,3
1645448972,3
1645448973,3
1645448974,3
1645448975,3
1645448976,155
1645448977,125
1645448978,123
1645448979,118
1645448980,118
1645448981,118
1645448982,120
1645448983,114
1645448984,3
1645448985,3
1645448986,3
1645448987,3
1645448988,3
1645448989,3
1645448990,3
1645448991,3
1645448992,3
1645448993,3
1645448994,3
1645448995,3
1645448996,87
1645448997,105
1645448998,110
1645448999,112
1645449000,113
1645449001,107
1645449002,108
1645449003,82
1645449004,3
1645449005,3
1645449006,3
1645449008,3
1645449008,3
1645449009,3
1645449010,3
1645449011,3
1645449012,3
1645449013,3
1645449014,3
1645449015,3
1645449016,109
1645449017,114
1645449018,117
1645449034,3
1645449035,3
1645449036,93
1645449037,112
1645449038,109
1645449039,110
1645449040,106
1645449041,111
1645449042,110
1645449043,77
1645449044,3
1645449045,3
1645449046,3
1645449047,3
1645449048,3
1645449049,3
1645449050,3
1645449051,3
1645449052,3
1645449053,3
1645449054,3
1645449055,3
1645449056,115
1645449057,115
1645449058,117
1645449059,117
1645449060,121
1645449062,116
1645449062,115
1645449063,121
1645449064,3
1645449065,3
1645449066,3
1645449067,3
1645449068,3
1645449069,3
1645449070,3
1645449071,3
1645449072,3
1645449073,3
1645449074,3
1645449075,3
1645449076,84
1645449077,113
1645449078,107
1645449079,108
1645449080,109
1645449081,109
1645449082,108
1645449083,73
1645449084,3
1645449085,3
1645449086,3
1645449087,3
1645449088,3
1645449089,3
1645449090,3
1645449091,3
1645449092,3
1645449093,3
1645449094,3
1645449095,3
1645449096,114
1645449097,113
1645449098,118
1645449099,120
1645449100,120
1645449101,116
1645449102,113
1645449103,117
1645449104,3
1645449105,3
1645449106,3
1645449107,3
1645449108,3
1645449109,3
1645449110,3
1645449111,3
1645449112,3
1645449113,3
1645449114,3
1645449115,3
1645449116,80
1645449117,112
1645449118,108
1645449119,108
1645449120,114
1645449121,109
1645449123,112
1645449123,75
1645449124,3
1645449125,3
1645449126,3
1645449127,3
1645449128,3
1645449129,3
1645449130,3
1645449131,3
1645449132,3
1645449133,3
1645449134,3
1645449135,3
1645449136,110
1645449137,121
1645449138,116
1645449139,122
1645449140,117
1645449141,124
1645449142,119
1645449143,31
1645449144,3
1645449145,3
